日期,商户,金额,收支,备注
2026-06-05 09:00,公司工资,7600,收入,六月工资到账
2026-06-05 10:30,房东-六月房租,2200,支出,固定住房
2026-06-06 08:20,地铁,4,支出,通勤
2026-06-06 12:20,园区食堂,22,支出,午餐
2026-06-06 22:48,饿了么-烧烤,58,支出,深夜外卖
2026-06-07 15:30,星巴克,36,支出,咖啡
2026-06-07 20:10,万达影院,68,支出,周末电影
2026-06-08 08:15,地铁,4,支出,通勤
2026-06-08 12:10,便利店,18,支出,零食
2026-06-09 12:05,园区食堂,25,支出,午餐
2026-06-10 21:45,淘宝-收纳,89,支出,生活购物
2026-06-12 09:10,腾讯视频会员,25,支出,自动续费
2026-06-12 12:25,园区食堂,23,支出,午餐
2026-06-13 11:15,滴滴出行,32,支出,周末出行
2026-06-13 16:30,奈雪的茶,29,支出,奶茶
2026-06-14 19:00,健身房月卡,199,支出,运动
2026-06-15 09:30,网易云音乐,18,支出,自动续费
2026-06-15 12:10,园区食堂,24,支出,午餐
2026-06-16 08:20,地铁,4,支出,通勤
2026-06-16 22:55,美团外卖-炸鸡,46,支出,深夜外卖
2026-06-18 12:10,园区食堂,26,支出,午餐
2026-06-19 18:30,京东-耳机,399,支出,数码购物
2026-06-20 14:00,线下书店,86,支出,技术书籍
2026-06-20 21:00,Livehouse门票,180,支出,周末娱乐
2026-06-22 08:20,地铁,4,支出,通勤
2026-06-22 12:10,园区食堂,22,支出,午餐
2026-06-24 22:35,饿了么-奶茶,31,支出,深夜外卖
2026-06-25 12:20,园区食堂,24,支出,午餐
2026-06-27 15:00,星巴克,34,支出,咖啡
2026-06-28 18:20,超市,125,支出,日用品
2026-07-05 09:00,公司工资,7600,收入,七月工资到账
2026-07-05 10:20,房东-七月房租,2200,支出,固定住房
2026-07-05 13:10,京东-电脑配件商城,1288,支出,显示器支架和配件
2026-07-05 21:20,万达影院,75,支出,周末电影
2026-07-06 08:20,地铁,4,支出,通勤
2026-07-06 12:15,园区食堂,25,支出,午餐
2026-07-06 22:42,美团外卖-火锅,76,支出,深夜外卖
2026-07-07 08:20,地铁,4,支出,通勤
2026-07-07 15:00,星巴克,38,支出,咖啡
2026-07-08 12:15,园区食堂,23,支出,午餐
2026-07-09 19:10,淘宝-夏装,266,支出,服饰购物
2026-07-10 12:10,园区食堂,26,支出,午餐
2026-07-12 09:10,腾讯视频会员,25,支出,自动续费
2026-07-12 14:30,滴滴出行,35,支出,周末出行
2026-07-12 20:00,演唱会门票,880,支出,周末娱乐
2026-07-13 16:20,奈雪的茶,31,支出,奶茶
2026-07-14 08:20,地铁,4,支出,通勤
2026-07-14 12:15,园区食堂,24,支出,午餐
2026-07-15 09:30,网易云音乐,18,支出,自动续费
2026-07-15 22:50,饿了么-烧烤,61,支出,深夜外卖
2026-07-16 12:10,园区食堂,27,支出,午餐
2026-07-17 18:40,健身房月卡,199,支出,运动
2026-07-18 11:00,线下书店,128,支出,设计课程书籍
2026-07-18 21:30,剧本杀,168,支出,周末娱乐
2026-07-19 14:00,星巴克,36,支出,咖啡
2026-07-20 08:20,地铁,4,支出,通勤
2026-07-20 12:12,便利店,22,支出,零食
2026-07-21 22:36,美团外卖-炸鸡,56,支出,深夜外卖
2026-07-22 12:10,园区食堂,25,支出,午餐
2026-07-24 19:20,Steam游戏平台,118,支出,游戏
2026-07-25 12:10,园区食堂,23,支出,午餐
2026-07-26 18:00,超市,146,支出,日用品
2026-07-27 22:58,饿了么-奶茶,35,支出,深夜外卖
2026-07-29 12:15,园区食堂,24,支出,午餐
2026-07-30 18:10,京东-耳机,460,支出,数码购物
