日期,商户,金额,收支,备注
2026-06-08 09:00,公司工资,7600,收入,六月工资到账
2026-06-08 10:00,房东-六月房租,2200,支出,固定住房
2026-06-10 19:00,京东-工作设备,980,支出,工作配件
2026-06-11 18:30,天猫-夏装,360,支出,服饰购物
2026-06-12 12:30,园区餐厅,72,支出,午餐
2026-06-18 08:20,地铁月票,120,支出,通勤
2026-07-06 09:00,公司工资,7600,收入,七月工资到账
2026-07-06 10:00,房东-七月房租,2200,支出,固定住房
2026-07-06 19:20,京东-显示器支架,1080,支出,数码购物
2026-07-07 18:40,天猫-夏装,480,支出,服饰购物
2026-07-08 20:10,淘宝-收纳用品,260,支出,购物冲动
2026-07-10 12:30,园区餐厅,75,支出,午餐
2026-07-16 08:20,地铁月票,120,支出,通勤
2026-07-23 19:00,健身房月卡,199,支出,运动
