日期,商户,金额,收支,备注
2026-06-05 09:00,公司工资,7200,收入,六月工资到账
2026-06-05 10:00,房东-六月房租,2200,支出,固定住房
2026-06-08 12:30,健康餐厅,85,支出,午餐
2026-06-11 12:30,健康餐厅,82,支出,午餐
2026-06-15 08:20,地铁月票,120,支出,通勤
2026-06-17 19:00,健身房月卡,199,支出,运动
2026-06-20 14:00,技术书店,260,支出,学习资料
2026-06-24 12:30,健康餐厅,86,支出,午餐
2026-07-06 09:00,公司工资,7200,收入,七月工资到账
2026-07-06 10:00,房东-七月房租,2200,支出,固定住房
2026-07-08 12:30,健康餐厅,88,支出,午餐
2026-07-11 12:30,健康餐厅,86,支出,午餐
2026-07-14 08:20,地铁月票,120,支出,通勤
2026-07-17 19:00,健身房月卡,199,支出,运动
2026-07-19 14:00,设计课程平台,320,支出,在线课程
2026-07-22 12:30,健康餐厅,90,支出,午餐
2026-07-26 12:30,健康餐厅,87,支出,午餐
