日期,商户,金额,收支,备注
2026-05-08 09:00,公司工资,6500,收入,五月工资到账
2026-05-08 10:00,房东-五月房租,2000,支出,固定住房
2026-05-12 09:10,腾讯视频会员,25,支出,自动续费
2026-05-15 09:30,网易云音乐,18,支出,自动续费
2026-05-20 12:30,园区餐厅,78,支出,午餐
2026-06-08 09:00,公司工资,6500,收入,六月工资到账
2026-06-08 10:00,房东-六月房租,2000,支出,固定住房
2026-06-12 09:10,腾讯视频会员,25,支出,自动续费
2026-06-15 09:30,网易云音乐,18,支出,自动续费
2026-06-20 12:30,园区餐厅,80,支出,午餐
2026-07-06 09:00,公司工资,6500,收入,七月工资到账
2026-07-06 10:00,房东-七月房租,2000,支出,固定住房
2026-07-12 09:10,腾讯视频会员,25,支出,自动续费
2026-07-15 09:30,网易云音乐,18,支出,自动续费
2026-07-21 12:30,园区餐厅,82,支出,午餐
2026-07-23 08:20,地铁月票,120,支出,通勤
